author,predicted reliability,0
RepDevinNunes,1,9
RepDianaDeGette,0,57
RepDianaDeGette,1,210
RepDonBacon,0,21
RepDonBacon,1,137
RepDonBeyer,0,75
RepDonBeyer,1,169
RepDonaldPayne,0,26
RepDonaldPayne,1,182
RepDougCollins,0,21
RepDougCollins,1,124
RepDrewFerguson,0,11
RepDrewFerguson,1,59
RepDustyJohnson,0,17
RepDustyJohnson,1,93
RepDwightEvans,0,54
RepDwightEvans,1,166
RepEBJ,0,26
RepEBJ,1,126
RepEdCase,0,17
RepEdCase,1,162
RepElaineLuria,0,24
RepElaineLuria,1,303
RepEliotEngel,0,34
RepEliotEngel,1,192
RepEscobar,0,128
RepEscobar,1,236
RepEspaillat,0,49
RepEspaillat,1,219
RepFilemonVela,0,30
RepFilemonVela,1,209
RepFinkenauer,0,23
RepFinkenauer,1,213
RepFletcher,0,28
RepFletcher,1,202
RepFrankLucas,0,18
RepFrankLucas,1,182
RepFredUpton,0,39
RepFredUpton,1,433
RepFrenchHill,0,24
RepFrenchHill,1,300
RepGallagher,0,22
RepGallagher,1,195
RepGaramendi,0,31
RepGaramendi,1,155
RepGarretGraves,0,7
RepGarretGraves,1,64
RepGilCisneros,0,45
RepGilCisneros,1,321
RepGolden,0,26
RepGolden,1,162
RepGonzalez,0,30
RepGonzalez,1,222
RepGosar,0,7
RepGosar,1,52
RepGraceMeng,0,58
RepGraceMeng,1,369
RepGregPence,0,15
RepGregPence,1,78
RepGregStanton,0,32
RepGregStanton,1,190
RepGregSteube,0,22
RepGregSteube,1,168
RepGregoryMeeks,0,56
RepGregoryMeeks,1,143
RepGrothman,0,17
RepGrothman,1,127
RepGusBilirakis,0,15
RepGusBilirakis,1,132
RepGuthrie,0,12
RepGuthrie,1,112
RepGwenMoore,0,44
RepGwenMoore,1,233
RepHagedorn,0,12
RepHagedorn,1,200
RepHalRogers,0,12
RepHalRogers,1,87
RepHaleyStevens,0,37
RepHaleyStevens,1,288
RepHankJohnson,0,34
RepHankJohnson,1,163
RepHarley,0,45
RepHarley,1,217
RepHartzler,0,19
RepHartzler,1,98
RepHastingsFL,0,25
RepHastingsFL,1,309
RepHolding,0,7
RepHolding,1,28
RepHorsford,0,30
RepHorsford,1,320
RepHoulahan,0,39
RepHoulahan,1,243
RepHuffman,0,65
RepHuffman,1,247
RepHuizenga,0,9
RepHuizenga,1,101
RepJackBergman,0,7
RepJackBergman,1,49
RepJahanaHayes,0,34
RepJahanaHayes,1,134
RepJasonCrow,0,25
RepJasonCrow,1,215
RepJasonSmith,0,12
RepJasonSmith,1,53
RepJayapal,0,61
RepJayapal,1,215
RepJeffDuncan,0,26
RepJeffDuncan,1,156
RepJeffries,0,54
RepJeffries,1,182
RepJerryNadler,0,44
RepJerryNadler,1,282
RepJimBaird,0,8
RepJimBaird,1,77
RepJimBanks,0,39
RepJimBanks,1,77
RepJimCosta,0,39
RepJimCosta,1,158
RepJimmyGomez,0,31
RepJimmyGomez,1,408
RepJimmyPanetta,0,33
RepJimmyPanetta,1,253
RepJoeCourtney,0,28
RepJoeCourtney,1,228
RepJoeKennedy,0,62
RepJoeKennedy,1,244
RepJoeMorelle,0,43
RepJoeMorelle,1,333
RepJoeNeguse,0,26
RepJoeNeguse,1,255
RepJoeWilson,0,7
RepJoeWilson,1,160
