author,ratio,zero,one
SenBrianSchatz,0.2605633802816901,37,142
SenatorCantwell,0.2617801047120419,50,191
SenJohnKennedy,0.2621359223300971,27,103
EleanorNorton,0.2627118644067797,31,118
RepHuffman,0.2631578947368421,65,247
RepKenBuck,0.2647058823529412,18,68
RepAdams,0.2653061224489796,39,147
RepRubenGallego,0.26595744680851063,50,188
MacTXPress,0.2692307692307692,7,26
RepDMP,0.26953125,69,256
RepDianaDeGette,0.2714285714285714,57,210
SenBobCasey,0.272108843537415,80,294
repkevinhern,0.2727272727272727,9,33
SenKamalaHarris,0.27303754266211605,80,293
jahimes,0.275,22,80
SenDuckworth,0.275,66,240
RepKarenBass,0.2764227642276423,34,123
RepAndyBiggsAZ,0.27802690582959644,62,223
RepBillFlores,0.27835051546391754,27,97
RepSpeier,0.27918781725888325,55,197
RepKirkpatrick,0.279874213836478,89,318
RepThomasMassie,0.28125,36,128
RepRichmond,0.2830188679245283,30,106
RepRoKhanna,0.2831050228310502,62,219
RepWilson,0.2831050228310502,62,219
RepJayapal,0.2837209302325581,61,215
RepRickCrawford,0.2839506172839506,46,162
RepKinzinger,0.28421052631578947,27,95
RepSwalwell,0.2857142857142857,24,84
RepBarbaraLee,0.28627450980392155,73,255
RepDannyDavis,0.2866666666666667,43,150
RepBobbyRush,0.2887700534759358,54,187
RepSusanDavis,0.28888888888888886,26,90
RepLaMalfa,0.29411764705882354,10,34
RepBillFoster,0.2949852507374631,100,339
RepLloydDoggett,0.2961165048543689,61,206
RepJeffries,0.2967032967032967,54,182
ChrisCoons,0.2974137931034483,69,232
SenBlumenthal,0.3,66,220
SenWhitehouse,0.3008130081300813,37,123
MarkWarner,0.30434782608695654,56,184
SteveScalise,0.3054187192118227,62,203
repblumenauer,0.3113207547169811,33,106
PattyMurray,0.31222707423580787,143,458
repjohnlewis,0.3125,10,32
SpeakerPelosi,0.3148936170212766,74,235
RepAdamSchiff,0.3153846153846154,41,130
CongPalazzo,0.3154121863799283,88,279
RepDanCrenshaw,0.3178294573643411,41,129
RepAndyLevin,0.31851851851851853,86,270
RepKClark,0.3191489361702128,60,188
RepAndyKimNJ,0.3225806451612903,80,248
SenSherrodBrown,0.3229166666666667,62,192
JohnCornyn,0.3230769230769231,21,65
RepRooney,0.3235294117647059,11,34
RepDLamborn,0.3253012048192771,27,83
RepDwightEvans,0.3253012048192771,54,166
RepTedDeutch,0.32666666666666666,98,300
SenWarren,0.32989690721649484,96,291
RepTedYoho,0.33,33,100
GReschenthaler,0.33516483516483514,61,182
SenJeffMerkley,0.3373493975903614,56,166
RepSeanMaloney,0.3386243386243386,64,189
RepCummings,0.34146341463414637,28,82
RepWebster,0.34146341463414637,14,41
DesJarlaisTN04,0.34579439252336447,37,107
GOPLeader,0.34959349593495936,43,123
SenRickScott,0.35185185185185186,38,108
SenRubioPress,0.35294117647058826,48,136
JimPressOffice,0.3548387096774194,11,31
davidcicilline,0.35658914728682173,46,129
LeaderHoyer,0.35714285714285715,80,224
CongressmanHice,0.35833333333333334,43,120
RepMarkGreen,0.3660130718954248,56,153
SenatorLeahy,0.37583892617449666,56,149
RepValDemings,0.38011695906432746,65,171
RepGregoryMeeks,0.3916083916083916,56,143
LindseyGrahamSC,0.3925233644859813,42,107
SenHawleyPress,0.3953488372093023,51,129
FrankPallone,0.39655172413793105,115,290
RepTimRyan,0.40350877192982454,92,228
RepMattGaetz,0.40425531914893614,19,47
