,Tweet
0,"Sen Rubio, Chairman of @SenateForeign Subcommittee on Western Hemisphere, welcomes the designation of Guatemalan nationals who have undermined their nation's rule of law and are involved in corruption acts. https://t.co/HTBw4Rw2BM"
1,"‼️ICYMI: Rubio in @NewYorker: “The first thing that comes to mind for people every single day is not your ethnicity, it’s...that you’re a husband or a wife, a father or a mother, an employee, a volunteer or a coach—somebody who has a role to play.""

Read👇
https://t.co/vlcdSCa0Ev"
2,"Sen Rubio has been informed about the tragic crash of a training flight out of Naval Air Station Whiting Field and is monitoring the situation. He and Mrs Rubio extend their thoughts and prayers to the families of the 2 service members who lost their lives
https://t.co/pv9eSTp1Sy"
3,.@FEMA has announced it will reimburse @HillsboroughFL more than $2.2 million for emergency protective measures as a result of the #COVID_19 pandemic.
4,"Sen. Rubio, @SenTomCotton &amp; colleagues introduced a resolution to designate today as a national day of remembrance for members of the US Armed Forces who were killed or injured by the terrorist attack on the @USMC barracks in #Beirut on October 23, 1983.
https://t.co/2eFX0aBT7k"
5,"Sen. Rubio on Pelosi &amp; Schumer's grandstanding on #COVID19 relief👇

""they have done absolutely nothing to make good on their word...Last week, Pelosi even said the quiet part out loud, 'I don’t think our leverage has ever been greater than it is now.'""
https://t.co/inGuTmsgsB"
6,Happy Birthday to the @USNavy! We are grateful for the steadfast service of the many Sailors and Servicemembers who have defended the American way of life for the past 245 years. https://t.co/i00YZVU2iZ
7,"Two years after #HurricaneMichael's landfall in the #Florida Panhandle, Senator Rubio commemorates the more than 40 lives tragically lost in the storm, and commends the resilient spirit of the Floridians who continue to rebuild and recover from its devastating effects."
8,"Amidst the increased stress felt worldwide during the #COVID_19 pandemic, mental health services are more important than ever before.
 
On #WorldMentalHealthDay, Senator Rubio reaffirms his support for broadening access to critical, quality mental health services. https://t.co/AVKfAOHlDj"
9,"Sen. Rubio, Chairman of @SenateForeign Subcommittee on W.Hemisphere, welcomed @USTreasury’s sanctioned Nicaraguan nationals and a financial institution who continue undermining the nation's democratic order and the rule of law. https://t.co/iwUGL0sWRI"
10,"American citizen @BobFu4China, who has been a tireless advocate for religious liberty and human rights in #China, should not be threatened here in the U.S. or anywhere else. Threats from thugs are simply unacceptable. https://t.co/CMXesQUnKf"
11,"Renters in Bay, Escambia, Okaloosa, Santa Rosa and Walton counties whose homes and property were damaged by #HurricaneSally can apply for @fema federal disaster assistance. The registration deadline is Dec. 1, 2020. More info 🔽

https://t.co/ODJP7OPs7h"
12,"During #BreastCancerAwarenessMonth, Senator Rubio acknowledges all who have been impacted by breast cancer, and remains committed to finding a cure for this all-to-common disease. https://t.co/l0kUCmvhhu"
13,"The U.S. continues to sanction &amp; hold accountable members of the Castro regime who directly benefit from the oppression of the Cuban ppl. Sen.Rubio welcomes the addition of Gen. Luis Alberto Rodríguez López-Calleja, former son-in-law of Cuban dictator Raúl Castro,to the SDN List. https://t.co/3eMcjyqt1f"
14,Good news for #Florida. @USDOL has announced a more than $28 million Dislocated Worker Grant for @FLDEO to help address the impacts of #COVID19 on Florida’s workforce.
15,"As the world confronts #COVID_19, our nation through @SouthCom continues to lend a helping hand to our regional allies. #Jamaica received a mobile field hospital reaffirming our nations’ strong friendship and bilateral relations. 🇯🇲🇺🇸 https://t.co/wQI45VYc0n"
16,.@FEMA has announced it will reimburse @SMHCS more than $1.8 million for emergency response measures as a result of #COVID19.
17,".@Netflix is giving an international platform to the work of Chinese writer Liu Cixin who has publicly supported egregious human rights violations in #China.  

Do better Netflix. https://t.co/vgk5DH1gqR"
