,Tweet
46,RT @FedAmerHospital: .@MacTXPress is protecting rural patients by co-sponsoring #HR1955. #ThankYou #StandUp4RuralHospitals #RuralHealth htt…
47,RT @RepDonBacon: Thank you to our allies for the wonderful hospitality in Norway. The United States is committed to working closely with ou…
48,RT @SpeakerRyan: Thank you to our allies who welcomed my delegation last week. The US stands with you against Russian aggression. https://t…
49,"RT @katieleslienews: .@MacTXPress: Those who didn't support #AHCA ""share some of the responsibility for what is to come in the wks, months…"
50,Thornberry statement on House failure to pass health care bill https://t.co/WqZ49jBKI5
51,Mac's statement on failure to pass health care bill. #AHCA #HealthCareReform https://t.co/pBH2KO2im6
52,Thornberry statement on American Health Care Act https://t.co/sgoeZC4u7J
53,(2of2) @RealDonaldTrump promise is facing Obama holdovers @DOD who have been fighting against rebuilding &amp; are still undermining agenda.
54,Thornberry votes for sweeping health reform and research bill https://t.co/wVPW8UEzcT
55,"RT @ForeignPolicyI: .@MacTXPress: If we lose the innovation that comes from a whole series of companies, we'll have a difficult time defend…"
56,RT @ForeignPolicyI: .@MacTXPress I didn't fully appreciate our state of readiness until I talked with servicemen who have to deal with it e…
57,"RT @HASCRepublicans: ""We remember the men &amp; women who answered our nation's call to serve"" Chairman @MacTXPress 
https://t.co/hbRz3wLOXH ht…"
58,RT @TAHCH: Our members from the Texas panhandle met with Chairman Thornberry today in DC to talk #homehealth @MacTXPress https://t.co/n3YGL…
59,"RT @jacqklimas: .@MacTXPress has big plans for HASC in 2016: acquisition, healthcare and organizational reform. https://t.co/twGuiAKqm7 via…"
60,"RT @PressClubDC: .@MacTXPress declines to endorse a GOP nominee for president, says whoever it is will ""inherit a whale of a mess"" #npclive"
61,"RT @BGOV: Topics for @HASCRepublicans in '16: Acquisition, personnel + healthcare reform, Thornberry tells #BGOVInSite https://t.co/2syCldV…"
62,RT @ColinDefense: For those who might have missed it. Wash Po editorial board piece on veto threat to #NDAA2016 https://t.co/CF2JSVSFby
63,"RT @HASCRepublicans: “Shaker Aamer ...is a dangerous individual whose release will put Americans at greater risk.” @MacTXPress #HASC
https:…"
64,"RT @ACScowcroft: .@MacTXPress: US has the opportunity to learn from the example of those ""who met their historical moment."" #ACStrategy"
65,"RT @HASCRepublicans: GOP Weekly Address w/ @MacTXPress ""our strength depends first and foremost on the men and women who serve"" http://t.co…"
66,"RT @SpeakerBoehner: We carry a debt to those who have served, &amp; especially to those who have fallen: https://t.co/mZ3JP2SrDt - @MacTXPress"
67,"RT @HouseGOP: ""To everyone who wears America’s colors and to everyone who ever has, and to their families, thank you."" http://t.co/j2ldqW35…"
68,RT @RepRickLarsen: #Veterans shouldn't have to wonder how they will get to their next health care appt. My bill w/@MacTXPress will help. ht…
