,Tweet
34,I visited Manito Trucking to talk about the need to authorize a long-term infrastructure bill &amp; industry-wide initiatives to recruit &amp; train drivers. Thank you to the truck drivers who are delivering products &amp; keeping our supply chain moving during the COVID-19 pandemic. https://t.co/GHRsG1jqvx
35,"RT @RepRonWright: COVID-19 has shown us the importance of securing our supply chains &amp; becoming medically independent from the #CCP.

I'm p…"
36,"Thanks to JBS for investing $2.5 million in the Beardstown community as part of their Hometown Strong Initiative. This funding will help respond to needs resulting from the COVID-19 pandemic and strengthen Beardstown's future.
https://t.co/PM2Lo2U8t2"
37,"In central Illinois, cutting edge research &amp; clinical trials are helping our country’s effort to find a COVID-19 vaccine. I spoke with @PeoriaChamber &amp; the @USChamber’s @globalIPcenter to discuss the innovative work our medical community is doing in #IL18. https://t.co/aF13QQejsR"
38,Thank you to Adjutant General Neely of the @IL_Natl_Guard &amp; Colonel Carpenter of the 183rd Air Wing in Springfield for an update on the 183rd’s mission &amp; their COVID-19 relief support. I will continue to support the men &amp; women who serve in the Air National Guard in Congress. https://t.co/smKn5GbC7w
39,"I joined the @PeoriaChamber, @globalIPcenter &amp; medical professionals to discuss innovative research happening in our hospital systems in central IL as part of the national effort to find a COVID-19 cure. We also talked about protecting US innovation from IP theft in trade policy. https://t.co/grY8KFJvi9"
40,"I joined @SecWilkie to unveil a memorial at Camp Butler National Cemetery in Springfield, celebrating Lincoln’s second inaugural address, which gave @DeptVetAffairs its mission &amp; motto. I am grateful for the Secretary’s leadership &amp; the brave veterans who defended our freedom. https://t.co/cmwcGeFmry"
41,"Great to visit with Adjutant General Neely of the @IL_Natl_Guard, Assistant Adjutant General Nezamis &amp; Colonel McDonough of @the182AW in Peoria for an update on the 182nd’s mission. The Guard played a key role in our COVID-19 response &amp; I’ll continue to support them in Congress. https://t.co/KFk9HUYPsr"
42,"RT @mcleancochamber: Thank you to everyone who attended, sponsored, &amp; participated in this year's State of Congress event! Special thanks t…"
43,RT @MDH_Hospital: Thank you @RepLaHood for visiting MDH during your recent trip to Macomb. We appreciate you spending time with our hospita…
44,Thank you to the @mcleancochamber for having me this afternoon to provide a #StateofCongress update with @RodneyDavis. We had a good discussion about the COVID-19 impact on McLean County small businesses and the challenges they face in our recovery from the virus. https://t.co/YOwKK5QLEn
45,"It was great to be in Macomb yesterday for move-in day at WIU and to visit with the McDonough Co. Hospital personnel. I will take what I heard back to DC to ensure west-central Illinois continues to get the resources we need to combat COVID-19. 
https://t.co/rA18TqvS69"
46,I want to thank @WesternILUniv President Abraham &amp; his team for the campus tour &amp; highlighting all of the new safety protocols implemented in response to COVID-19. I was impressed with WIU’s approach &amp; want to wish them all the best as they start the school year. Go Leathernecks! https://t.co/6GiThGry2A
47,"RT @WMBDNews: An ethanol plant in Galva is finding a new purpose during the COVID-19 pandemic. In a matter of weeks, Global Impact Innovati…"
48,Global Impact Innovation &amp; Big River Resources in Galva started making ethanol-based hand sanitizer in March to help combat COVID-19. They hired 20 additional people &amp; the innovation holds great potential for midwestern ethanol. We are grateful for the investment in central IL! https://t.co/4X6ROOOhBs
49,"I recently joined @WITA_DC for a discussion about US-China relations, my work on the #ChinaTaskForce &amp; trade. As America works to recover from COVID-19, strengthening our global competitiveness through trade is critical to rebuilding our economy. Watch⬇️
https://t.co/H0UyVnC6qz"
