,Tweet
41,"Thanks for the update. 

But will Twitter be fact checking Communist China’s lies about the #coronavirus? 

What about China’s lies about protestors in Hong Kong? 

How about the WHO?

Or will you continue to only target conservatives? https://t.co/TaCU9iuqOe"
42,"Liberty comes at the ultimate cost. 

On #MemorialDay, we remember the brave men and women who gave their lives for our country. 

From Yorktown, to Omaha Beach, to Helmand, let us never forget those who laid down their lives so that their countrymen may be free."
43,"House Democrats held another fake #coronavirus hearing today. 

Their own witness agreed that it’s time to go back to work. 

Enough partisan games. Open the economy! https://t.co/fnSgFXDEXz"
44,"April 2020: The Trump Administration isn’t doing enough when it comes to #coronavirus testing! 

May 2020: We now have too many tests, and not enough people to take them. 

Amazing. 
https://t.co/IY4K5PrBju"
45,"RT @SelectGOP: House Democrats created a Select Committee on the #coronavirus to attack President Trump.

We’re here to defend the truth."
46,Who told President Obama? https://t.co/02T6nGMam4
47,RT @GOPoversight: The first thing Democrats did with Pelosi's select coronavirus committee was try to put American steelworkers out of a jo…
48,"Jan 3, 2017: Schumer says the intel community has “six ways from Sunday” to get back at you.

Flynn #unmasking: 

1. Jan 5: Obama COS McDonough

2. Jan 7: ODNI Clapper

3. Jan 7: Dep. ODNI Dempsey

4. Jan 11: U.N. Amb. Power 

5. Jan 12: Tres. Sec. Lew

6. Jan 12: VP Biden https://t.co/RxCRBxZhXW"
49,"Dems first witness at coronavirus committee hearing:

“Testing was the fundamental failure that forced our country to shut down.”

WHAT?!

The economy shutdown to stem the spread and keep hospitals from being overrun. 

We were successful. Time to get back to work!"
50,"Today, House Democrats are holding a virtual “hearing” on #coronavirus.

On Friday, they’ll change House rules to allow proxy voting. 

If truckers, farmers, grocers, and healthcare workers are showing up to work, then Congress should too!"
51,"Tomorrow’s fake Coronavirus Select Committee hearing is nothing more than #impeachment 2.0.  

-No rights for Republicans.
-No witnesses for Republicans.
-No transparency. 

Just another sham political show to attack the President!"
52,RT @GOPoversight: Democrats were so eager to score cheap political points with their new coronavirus select committee that they apparently…
53,"A liberal judge jailed a salon owner for working during the #coronavirus crisis.

In Ohio, we’re doing the opposite.

The state legislature is actually working to REMOVE criminal penalties for working during the crisis.

We can’t forget freedom during this pandemic!"
54,"In honor of National Correctional Officers Week, join us in thanking @CLALeadership &amp; the over 400,000 public servants staffing our nation’s prisons &amp; jails during the #coronavirus crisis.

READ: A retired corrections officer writes why this week matters. https://t.co/hxHAp71Epa"
55,"John Ratcliffe is an outstanding lawyer who cares deeply for our country, our security, and the rule of law. 

He’s been a tremendous asset to the Intelligence Committee, Judiciary Committee, and he will do a great job as our next Director of National Intelligence. https://t.co/0tQ2cMkmGr"
56,"-Farmers are planting crops.
-Truckers are delivering goods.
-Grocers are stocking shelves.
-Frontline health workers haven’t missed a day. 

These workers are showing up. So should Congress. 

Let’s get back to Washington, Speaker Pelosi. https://t.co/rL0qnxr897"
57,"Attorney General Barr’s Memo to U.S. Attorneys: 

“The Constitution is not suspended in times of crisis.” 

The Attorney General is right. We can’t forget freedom during the #coronavirus crisis. https://t.co/KMKbtroziZ"
58,"January 31: President Trump restricts travel from China, saving countless lives. 

January 31: Adam Schiff is busy arguing to the Senate that they should remove President Trump from office.

President Trump acted early to combat #coronavirus. 

Why didn’t Adam Schiff? https://t.co/zSYPzfKiwg"
59,"President Trump is draining the Swamp. But the Swamp is fighting back.

• 2016: FBI spies on campaign
• 2017-2019: Mueller investigation
• 2019-2020: Schiff's sham impeachment

Yesterday, House Dems establish committee to attack President on #coronavirus.

When will it stop? https://t.co/I0Ucvh0VTn"
60,"The federal government already has 8 different entities conducting oversight of the #coronavirus. But Democrats want a 9th. 

Why? 

Because the others aren't partisan and political. https://t.co/lzfyHvvhAy"
61,"Why is Harvard getting a $8.6 million #coronavirus stimulus when they have a $40 billion endowment?

The President is right to demand the money back!

In fact, every penny that isn’t going to students or businesses forced to shut down should be returned. 

https://t.co/g9enlRNsHz"
62,"RT @JudiciaryGOP: Speaker Pelosi just blamed Mitch McConnell for delaying the latest #coronavirus relief package. 

Seriously? 

The Speake…"
63,"Let’s get this straight:

-Democrats want you to stay in your house to combat #coronavirus. 

-Democrats also believe we should have open borders during the coronavirus crisis! 

Seriously?

President Trump’s decision to temporarily halt immigration is common sense. https://t.co/Bee2Souikq"
64,"-Can’t go to church.
-Can’t go fishing *by yourself* in your motor boat.
-And now you can’t buy seeds to garden at your house?

In some states, the #coronavirus attack on freedom is out of control.

Americans are right to demand their civil liberties back.
https://t.co/jbs4eZUkv7"
65,RT @henryrodgersdc: Rep. Jim Jordan (@Jim_Jordan) announced that Democrats are considering coronavirus legislation that would give money to…
66,"House Democrats are now considering #coronavirus legislation that PAYS states to let criminals out of prison. 

But those same Democrats also argue that gun stores and your #2ndAmendment rights are “non-essential” to protect yourself. 

You can’t make this up! https://t.co/GaW18YK5T7"
67,"There are #coronavirus task forces doing great work. 

But there’s one task force that’s missing in action: the U.S. Congress! 

Where’s Speaker Pelosi’s plan to get back to work?"
68,"Honda just announced that it will donate PPE equipment to local Ohio hospitals. 

It’s great to see private companies like Honda come together and support our healthcare workers during the #coronavirus crisis. 
https://t.co/9fMMy8bJrf"
69,"RT @JudiciaryGOP: China continues to falsify vital information about the #coronavirus epidemic.

This brazen deceit threatens lives across…"
70,"My friend @replouiegohmert says it best: 

“We don’t have to pay organizations to lie to us. They’ll probably do it for free!” 

He’s right. The #WHO wasn’t honest about #coronavirus. And I applaud President Trump’s decision to halt funding."
71,"Two things Democrats never miss:

1. An opportunity to use a crisis to advance their left-wing agenda.

2. Any chance to attack the President.

But what’s most scary about this #coronavirus crisis?

The threats to our fundamental liberties at times like these. https://t.co/OKtOSd5Okb"
72,"-Los Angeles Mayor says “snitches” will get “rewards.”

-Ohio prosecutor threatens felony charges for violating stay-at-home order.

-Google offers federal government location data to track you. 

Don’t forget freedom.  

Our latest op-ed. #coronavirus 
https://t.co/WvZ9v8ZBo8"
73,"If the #WHO wants to spread Chinese propaganda about #coronavirus, then the United States shouldn’t fund the WHO with our taxpayer dollars. 

Period. 
https://t.co/6xpHfWQrsx"
74,RT @GOPoversight: “The World Health Organization should be ashamed that they relied on Chinese propaganda when deciding how to combat the c…
75,"House Democrats are already demanding that illegal immigrants receive benefits in the next #coronavirus aid package. 

Seriously?

That can’t happen while so many American families are struggling."
76,"A local furniture store just announced that it will start making masks and gowns to help Ohio hospitals fight #COVIDー19.

Private businesses and the American spirit will defeat coronavirus, not liberal dreams like the Green New Deal and universal income. https://t.co/sdOzqV0Lzo"
77,"We’re all pulling for Prime Minister Boris Johnson. 

Our prayers are with him, his family, and all of the other families who have been impacted by #COVIDー19."
78,"Remember Schiff and Atkinson’s staff are the ONLY people who met with the anonymous Whistleblower. 

The Whistlblower: 

- Who had no firsthand knowledge
- Was biased against the President 
- Worked for Joe Biden"
79,"Speaker Pelosi just announced a new committee to oversee the #coronavirus crisis. 

That’s ridiculous! 

We already have an Oversight Committee in Congress."
80,"Big government regulations shouldn’t restrict private companies from making hand sanitizer during the #COVIDー19 crisis.

The American people deserve better.
https://t.co/wgQpMe8Ibs"
81,"Adam Schiff released the phone records of the President’s personal attorney, a journalist, and a sitting Member of Congress.

Now he wants to create a commission to attack the Trump Administration’s #COVIDー19 response? 

Give me a break. 
https://t.co/AD9hEjHqPe"
82,"RT @JudiciaryGOP: Release all #ICE detainees as a response to the #COVIDー19 crisis?
 
That includes: 
 
• Murderers 
• Child abusers
• Othe…"
83,"Another liberal wish list coming soon? 

Partisan games and politics won't defeat #COVIDー19, Speaker Pelosi. 
https://t.co/DbW9V77Ecd"
84,"When the Horowitz Report came out, James Comey said that those who attacked the FBI on #FISA ""should admit they were wrong."" 

The only thing we were wrong about was FISA abuse was even worse than we thought! 

In fact, the FBI failed over 92% of the time.
https://t.co/GqPjQzYnl2"
85,"RT @JudiciaryGOP: Private companies are voluntarily mobilizing to defeat #COVIDー19. 

Don't let big government policies get in their way! #…"
86,"We have new and updated resources for OH-04 constituents looking for help with #COVIDー19.

Click here: https://t.co/rMEFFT4lM4"
87,"Great townhall from President Trump. He and healthcare experts laid out the path forward and how we will defeat #COVIDー19 as a country.

Democrats should bring that same spirit to negotiating. But instead they can’t seem to see past the left-wing agenda."
88,"Speaker Pelosi's bill:

-$300M for public broadcasting
-New tax credits for wind and solar
-Green New Deal standards on airlines
-Federal takeover of elections

Let's focus on addressing the problem and fighting the virus, not liberal pet projects."
89,"Let's work together to deal with the Coronavirus. Let's do it in a way that will help small business owners while keeping Americans safe.

Let's do what's best for the country.

(Listen at 30:45) @FrantzRadio https://t.co/wDPhC0AUKS"
90,"RT @freedomcaucus: COVID-19. It's changing our schools, jobs, economy—nearly every aspect of our lives. Through it all, Congress must evalu…"
