,Tweet
32,"The Paycheck Protection Program has supported over 50 million jobs during the COVID-19 pandemic. This includes support for 13,231 small businesses in Wyoming. PPP funds continue to be a lifeline for small businesses and their workers. Learn more here: https://t.co/EXjNhT1drV https://t.co/3L38VkHwYJ"
33,This week I joined @SenatorEnzi and @SenJohnBarrasso in requesting an extension of exploratory unit deadlines for oil and gas operators impacted by COVID-19. This is crucial relief for Wyoming’s energy industry as they deal with the coronavirus pandemic. https://t.co/htVJpvp5lQ
34,On Memorial Day we honor the brave men and women who have given their lives for our freedom. We should honor their memory by living lives worthy of their sacrifice. https://t.co/B89lLCfnt6
35,We owe our freedom to the brave men and women who serve in our Armed Forces. America is forever grateful for our troops who risk their lives so that we can live in the greatest country on Earth. https://t.co/OBfEIfavVK
36,"Yesterday, @SpeakerPelosi said that efforts to hold China accountable for spreading COVID-19 are “a diversion.”

A real diversion was when she consumed the House Intel Committee with impeachment instead of focusing on global threats, including the pandemic threat from China: https://t.co/6LjsBn3ysM"
37,I want to thank all of our heroes across Wyoming who answer the call to protect and serve our communities and state. https://t.co/fyzgTZFCgu
38,The Chinese Communist Party caused COVID-19 to spread around the globe inflicting economic devastation because they did not want to be the only nation that suffered. The United States must lead the world in holding them accountable. https://t.co/x77FkEOHv6
39,Wishing every mom a happy and healthy #MothersDay https://t.co/IHSbQPd6pS
40,"On this day 75 years ago, the world celebrated V-E Day. We honor and remember the WWII American military personnel who answered the call of duty and helped achieve victory over tyranny in Europe. https://t.co/He8BJNGN9m"
41,Click on the link below to read my latest newsletter with updates on coronavirus relief efforts including updated information about accessing Paycheck Protection Program loans for small businesses. https://t.co/HVyJNMLPev https://t.co/ctznYL0KzY
42,"Nurses are working around the clock, risking their lives and separating themselves from their families in order to defeat COVID-19. We thank you for your service during this time and for all you do for our communities. #NursesAppreciationWeek https://t.co/W7RsXm6Bh0"
43,"I agree with former FDA Commissioner Scott Gottlieb that our next steps in the battle against coronavirus must focus on persistent prevention, screening, and treatment efforts. https://t.co/uaCEHRc1nQ"
44,"Today we honor our brave firefighters who work tirelessly to keep our families safe. I want to especially recognize our Wyoming firefighters who battle wildfires across the state, protecting our ranchers, farmers, and rural communities. https://t.co/MUDyN4KsSd"
45,"The economic shutdown caused by coronavirus has severely impacted Wyoming's energy producers. Our state's coal, gas, and oil workers need regulatory relief in order to continue providing affordable energy for American families. https://t.co/U7gpkqv6R2"
46,"There is no question that because of the Chinese Communist Party's lies, because of their cover-up, because of the way that they’ve operated, they caused COVID-19 to spread globally and they’ve got to be held accountable. https://t.co/mnF4errzaP"
