,Tweet
37,"I’m glad the @USNavy has reversed its decision to prohibit off-base indoor worship services.

There's no excuse for restricting religious freedom — especially among our service members who fight to protect that freedom each and every day.

https://t.co/LnCR8cpNCN"
38,"Our police officers answer the call of duty every day to keep us safe.
 
It’s time to stand up for those who stand up for us. https://t.co/EJhkCGbMPm"
39,RT @WhiteHouse: Americans made countless sacrifices to help slow the spread of Coronavirus—especially the parents who diligently helped the…
40,"As we celebrate our independence, let us not forget that our freedom is not free.
 
To the many brave men and women who have sacrificed to preserve our freedom, THANK YOU!"
41,"Unbelievable. 

The Supreme Court just struck down Louisiana's #ProLife law, which requires abortion providers to protect women's health and safety.

This decisions threatens both the dignity of unborn children and the health of vulnerable mothers."
42,"RT @ChuckRossDC: Amazing. Doug Collins gets DOJ attorney John Elias, who is testifying as a whistleblower, to acknowledge that he discussed…"
43,Our law enforcement officers deserve better than a District Attorney who places politics before justice. https://t.co/Rf9fzdpL37
44,"As we consider reforms, we cannot ignore the fact that the vast majority of our police officers are courageous men and women who put their lives on the line each and every day to serve and protect our communities. To those officers: we thank you for your sacrifice."
45,"Our country has a long history of peacefully protesting to bring about positive change.

But the criminal escapades of Antifa and anarchists have to stop. https://t.co/swZZxMzuDO"
46,"42.6 million Americans have lost their jobs over the last 11 weeks.
 
This is the damage China created by covering up COVID-19. We must hold them accountable and ensure this never happens again. https://t.co/rzz0gLRNUd"
47,"🚨 @USDA just launched applications for the Coronavirus Food Assistance Program 🚨
 
Farmers and ranchers affected by the pandemic can apply for this relief through August 28. Learn more at https://t.co/vnHOpUv8lb. https://t.co/RigQ9OS8aG"
48,"On this #MemorialDay, we pause to honor the men and women who paid the ultimate price for our freedom.

We will never forget their sacrifice. 🇺🇸"
49,"RT @USDA: Beginning May 26, USDA will be accepting applications from agricultural producers who have suffered losses due to the coronavirus…"
50,"#GoodNewsoftheDay → SK Innovation has donated $400,000 to support Georgia in its fight against COVID-19.

This generous donation will help boost our state’s testing capabilities by supporting @AUG_Health’s statewide response."
51,"RT @WhiteHouse: ""Our goal for the future must be to have American medicine for American patients, American supplies for American hospitals,…"
52,"On #NationalArmedForcesDay, we pay tribute to the brave men and women who answered the call to serve.

Thank you for your sacrifice to protect our nation. Today we honor you. 🇺🇸"
53,"Speaker Pelosi’s claim that efforts to hold China accountable are a “diversion” is absurd. The Chinese Communist regime singlehandedly created a global pandemic, killing hundreds of thousands worldwide.
 
Every American should be concerned about China’s cover up. https://t.co/yOXVQc4r5s"
