,Tweet
49,"RT @AlexBerenson: Arizona: hospitalizations down over 50% from peak. Southeast Texas: almost 50%. Florida: almost 30%.

Time for the Sunbel…"
50,RT @RepAndyBiggsAZ: As we’ve seen around the country due to state and local governments’ responses to COVID-19 + the mainstream media’s hys…
51,RT @RepAndyBiggsAZ: Do you support or oppose the government mandating masks in public in response to the COVID-19 outbreak?
52,"RT @jacobjarv: With the COVID-19 crisis continuing worldwide,
@RepGosar is planning to introduce an act for a rapid response to future viru…"
53,"3 years ago I passed a repeal of the health insurance industry’s special exemption from antitrust laws through the House. 

Today I introduced a bill that will ensure Big Tech is not also immune from antitrust claims aimed at promoting and preserving competition."
54,"RT @JamesTodaroMD: A tale of two drugs...

Remdesivir &amp; HCQ both show promise for COVID-19

HCQ is discredited w/ fraudulent data, FDA warn…"
55,"RT @NatResources: National Guard Adam D. DeMarco, who is testifying on the Lafayette Square clearing, ran for Congress on an anti-trump pla…"
56,"RT @DOIPressSec: More than 50 officers with the United States Park Police were injured, 11 of which required transportation to the hospital."
57,"“The 39-year-old defendant, an asylum seeker from Rwanda who has lived in France for several years“

“He admitted during his first appearance for questioning...to have lit three fires in the cathedral”

https://t.co/JGn21MFgsp"
58,"Funny. I’ve long led the effort to repeal the exemption from antitrust laws for the business of health insurance.

https://t.co/TtWMAjCdTI

This week I will be introducing similar legislation regarding Big Tech. https://t.co/pkuSD3tsLQ"
59,"I offered amendments dealing with the challenges facing Native Americans, Indian education, &amp; expanding the bill to provide for the Indian Health Service. The COVID disaster has proven that Native American health care &amp; education facilities desperately need additional assistance."
60,"Like many, Hotels are in jeopardy due to the Coronavirus. Creative ideas are needed to rev the economy. 
@SenMcSallyAZ's TRIP Act would help promote travel and tourism. 
https://t.co/zYcL6Nvd1E"
61,"RT @jaketapper: NY state has lost more than 32,000 lives to COVID-19. So while it's great that the numbers have gone down, it's perplexing…"
62,"There are only four countries in the entire world with more COVID-19 deaths than New York. Thanks, @NYGovCuomo! https://t.co/4Y5H5nMCdO"
63,"RT @AlexBerenson: Total reported #covid deaths in AZ/FL/TX (60 million people) yesterday: 123. I know, it’s a Sunday, reporting lags. But d…"
64,"RT @MarkSKrikorian: 3 Members of Congress (@RepChipRoy, @RepGosar, @RepTedBudd) Ask DHS about Covid Patients from Mexico; Statistics needed…"
65,"RT @AnnCoulter: Presidential seal looks cool on Trump's mask! Everyone should add a personal crest to theirs.  Only problem for Biden is, M…"
66,"Nothing to see here...

“An NBC medical expert who was brought on air nearly a dozen times to detail his struggle with COVID-19 never had the virus” https://t.co/3WDPYi5YOb"
67,"RT @brithume: In a pandemic, infection numbers are a lousy way to measure the danger of the disease. Yes, people will get sick. But the que…"
68,"The Trump Administration curtails large-scale admission of immigrants and guest workers in response to a pandemic and unprecedented unemployment crisis and the media imputes nefarious motives...

There is nothing wrong with putting fellow citizens first. https://t.co/fcGdB57nJO"
69,"RT @WhiteHouse: Peaceful protesters deserve to be heard. Violent rioters who destroy communities deserve to be arrested. 

President @realD…"
70,Do peaceful protesters throw bricks at law enforcement? Asking for the more than 50 injured officers and 11 that were hospitalized. https://t.co/OJfg3Jqta8
71,"The mainstream media turned a blind eye to the virus as violent riots raged. When the riots calmed down, the media pivoted back to virus. Anything to hurt @realDonaldTrump! https://t.co/umZb4LwwZC"
72,RT @KerriKupecDOJ: People who destroy federal monuments and property should be prepared for DOJ to aggressively prosecute them. These aren’…
73,"RT @JudiciaryGOP: .@RepJerryNadler just said #ANTIFA was ""imaginary."" 

Seriously? Tell that to the business owners whose shops were looted…"
74,RT @rachelbovard: New from me in @usatodayopinion. Trump’s new order takes direct aim at the corporations who exploit the guest worker visa…
75,"RT @WhiteHouse: With the VA Accountability Act, agency employees who abuse their positions and fail our veterans can finally be removed. ht…"
76,The Fake News says the pandemic is worse than ever. This snapshot is from today’s ADHS dashboard. Look at the graph of a more relevant indicator—hospitalizations. The pandemic is clearly waning here. Many in the media are lying again and inciting fear. https://t.co/Tyzthk9Cir
77,RT @HomelandKen: DACA stands for deferred action. The action deferred is deportation. You don't deport Americans. The whole legal issue is…
78,RT @RaheemKassam: EXPOSED: Google’s Go-To ‘Conservative’ Influencer List Who Claim ‘Big Tech Bias Is a Good Thing’ https://t.co/HPffDxfep4
79,"RT @NumbersUSA: ""Four of the five MS-13 Gang members are illegal aliens who entered the U.S. as “Unaccompanied Alien Children” (UACs).""

ht…"
80,"RT @RepAndyBiggsAZ: This fear mongering is dangerous. AZ is 24th in per capita cases. NY has more than 400% more cases.

Arizonans are DONE…"
81,"RT @dougducey: #COVID19 testing is available throughout the state for those who think they have been exposed to the virus.

Locations, hour…"
82,RT @dougducey: .@CDCgov guidance for individuals: https://t.co/lJQmd8vqkR
83,RT @dougducey: Businesses play an important role in helping Arizona #ReturnStronger. @CDCgov has guidance for employers to help keep custom…
84,RT @DOIPressSec: This is more #FakeNews based entirely on anonymous sources who don’t know what they’re talking about. Current offshore pla…
85,"Wait until the media finds out who eulogized Storm Thurmond...

(Hint: Joe Biden) https://t.co/5LcjpgDWPi"
86,Defund the WHO https://t.co/nMZCQaX32Q
87,"RT @BLMArizona: Throughout the COVID-19 pandemic, most BLM-managed public lands in Arizona have remained open to the public. Public lands r…"
88,"Globalist institutions promoting the lies of the Chinese Communist Party, censoring dissent, and flip-flopping helped the Wuhan Coronavirus turn into an international pandemic and global economic catastrophe.
https://t.co/wmEgtrJZdk"
89,Spray painting *Abraham Lincoln* will surely help the cause... Lincoln was the REPUBLICAN who freed the slaves. Insane! https://t.co/IbZk3fR1OU
90,"RT @FLOTUS: Today, on the 76th Anniversary of #DDay, we remember those who paid the ultimate sacrifice &amp; we honor those who courageously se…"
91,"RT @WhiteHouse: Today, we remember and honor the brave soldiers, sailors, and airmen whose selfless sacrifices on June 6, 1944, secured fre…"
92,"Even with the tyrannical lockdowns the American economy still finds a way to succeed
https://t.co/c2QWODulqm"
93,The very same people saying in person voting is unsafe think large riots are perfectly fine. The virus is woke!
94,"RT @John__Berry: ""Stop saying you can't, say you can, but let's look out for those who are most vulnerable @RepGosar  #covid19andvets"
95,"For months we’ve been told gathering in groups, or even getting a haircut would “kill grandma” but apparently the virus is woke and no longer a big deal!https://t.co/X2Yyd4N1M5"
96,"You can't attend church due to COVID-19, but you're apparently welcome to set one on fire if you're in a city run by Democrats.
Law &amp; order!"
97,"Thank you @SenMcSallyAZ for the great townhall. “This epidemic has shown that we’ve got to bring our supply chains back to the United States,” Rep. Gosar said. “We are so dependent on China for our pharmaceuticals …We’ve got to build them here.”
https://t.co/8cz9rreItz"
98,"RT @realDonaldTrump: Our highest respect to the family of David Dorn, a Great Police Captain from St. Louis, who was viciously shot and kil…"
99,.@realDonaldTrump: Those who threaten innocent life and property will be prosecuted to the fullest extent of the law.
100,"Register for the Coronavirus &amp; Veterans Virtual Forum set for Wednesday, June 3rd with veteran leaders, experts, and advocates at https://t.co/mOwWeqJSDU
#COVID19andVETS https://t.co/bcYELBMUTi"
101,"This pandemic has made it clear that the United States must decrease our dependence on foreign services and supplies. 

From medical supplies &amp; critical minerals to essential work, America is more than capable.  
#AmericaFirst"
