,Tweet
34,"Congrats to Parliament of #Georgia on final passage of amendments, and commend those who participated to ensure passage. I continue to call on all parties to fully implement March 8th agreement, and thank @usingeo and Amb Degnen for continuing hard work and essential role."
35,"RT @USGLC: It shouldn’t just be Members of Congress who “fight for that role of foreign aid in the budget,” says @RepKinzinger in today’s #…"
36,RT @usingeo: The U.S. Embassy Tbilisi congratulates the Members of Parliament who today approved the first reading of Constitutional amendm…
37,"@JackRoshco @TuttyBaker Sorry man.  Try again, unless everyone is protesting in their own home which didn’t seem the case"
38,"RT @China_TaskForce: #ChinaTaskForce chair @RepMcCaul releases interim report on origins of COVID-19 Pandemic⬇️

""It's become crystal clear…"
39,"For 245 years, our @USArmy has served this nation proudly. Thank you to the men &amp; women who sacrifice for our freedom. Today, we celebrate both #ArmyBday and #FlagDay, honoring the Stars and Stripes &amp; all who defend the values we hold dear, that Old Glory 🇺🇸 represents. https://t.co/1eP94ab1KM"
40,Maybe time to get off @zoom_us since they are eager to please the Chinese Communist Party.  Who know what they allow to happen. https://t.co/s4ZtzYJ81v
41,My full statement on the latest conspiracy theories: https://t.co/70FWo0ee8a https://t.co/3b7ZWGIYFS
42,Just a few weeks ago there was outrage that conservatives would dare protest against state lockdowns.  But an autonomous zone is cool evidently. https://t.co/yI2FLgK8Mt
43,Sick of all these hurricanes.  #Defund the Weather Channel!
44,"By honoring our past, we secure our future. #DDay

In the early morning hours of June 6, 1944, our Allied forces stormed the beaches of Normandy, fighting valiantly to save the free world.

Today, we remember all who courageously served &amp; sacrificed in this most daring mission. https://t.co/G6UxC9sQbr"
45,"This is what I mean.  Removing people from a hotel who flew all the way from Utah and other places to defend you, while you let your pharmacies get ransacked is insane.  

The D.C. Mayor Just Kicked National Guard Troops Out of Local Hotels  https://t.co/XevLVF6j8X"
46,"5)  The Guard is not faceless, it is made up of people from all backgrounds and careers.   They have been activated for Covid, hurricanes, counter narcotics, etc.  They are well trained and extremely disciplined."
47,"1)  Sadly, the Guard issue needs a thread:  The Guard started as a bunch of farmers who won our independence from the British.  The Guard is under the command of each governor, in the current moment many Democratic govs have called up their Guard.  Not partisan."
48,RT @HouseGOP: The #PaycheckProtectionProgram has been a critical lifeline to small businesses during this national health and economic emer…
49,The Communist Party of China has used the #COVID19 pandemic to undermine the whole world &amp; that includes their own people. Reneging their promises to Hong Kong &amp; crushing any chance of independence is how the #CCP authoritarianism works &amp; it's about time we recognize it.
50,"RT @JaneMHorton: Plz retweet in honor of my husband, SPC Chris Horton, army sniper who was killed in action in Afghanistan on 09/09/11. May…"
51,"Completely unfounded conspiracy.  Just stop. Stop spreading it, stop creating paranoia. It will destroy us. https://t.co/XgDl6LmANb"
52,"As we continue to fight through the #coronavirus, we cannot forget the struggles millions of Americans continue to face with #opioid abuse &amp; misuse. Thank you to the men &amp; women of our emergency services who serve our communities &amp; save countless lives every day. #EMSWeek"
53,"Clickbait is everywhere and on social media, it can spread like wildfire. We have to rise above and unplug the rage machine that’s manufactured by trolls on the dark web. Take a deep breath and stay vigilant against these conspiracy theories. https://t.co/mapxGSlH3n"
54,"We need leadership on how to live AND work in this new normal. @MayoClinic says face masks reduce #COVID19 spread by 50-80% ‼️
Wearing a mask isn’t for you—it protects others from you. 
Wearing a mask isn’t about stifling your freedom—it’s about saving lives AND our economy."
55,"On #PeaceOfficersMemorialDay, we remember the brave men and women of our #ThinBlueLine who made the ultimate sacrifice to protect our communities. To our #IL16 heroes in blue and those across the country, thank you for your service. #PoliceWeek2020 https://t.co/REou2ioQnU"
56,"This is unacceptable. The Communist Party of China continues to put American lives at risk as they try to capitalize on the #COVID19 pandemic.

With their faulty manufacturing &amp; increased cyber attacks, the US needs to hold #China accountable &amp; address their threats head on. https://t.co/Y2y5kbUAIO"
57,"Here’s to the brave men and women who never gave up, never surrendered, and defeated the Nazis. On this #VEDay75, we celebrate all of our #WWII heroes and the sacrifices made by so many in the name of freedom. https://t.co/kWh6q8gj3k"
58,"How kind of you- being as how you hid the virus.   Was it kind of you to force Italy to buy back with actual money the actual PPE they donated to you?  You abuse human rights, and try to profit on the misery you allowed to spread.  The world is over you. https://t.co/lhK2yXyw4R"
59,"To the nurses of #IL16 and all across the country, THANK YOU. #ThankYouNurses for the life-saving work you do every single day, for the compassion you show to our loved ones, for serving on the frontlines of the #COVID19 pandemic. #NationalNursesDay"
60,"This #FeelGoodFriday, I'm giving a shout out to all those in #IL16 sewing masks to share with others, donating their time/resources to feed those in need, &amp; pulling double duty to help their community. 👏 #SchoolLunchHeroDay @StreatorHigh 👏 Full 🎥: https://t.co/7YL2xGsZ7s https://t.co/fChkGhT5iv"
61,"Many counties across #Illinois continue to report zero cases of #COVID19. As we continue to address areas where numbers are high, @GovPritzker must step up &amp; take a regional approach to create a safe reopening plan that balances safety AND employment. https://t.co/1HjxD7qf8x https://t.co/7J6XjRPPu5"
62,RT @HouseGOP: Millions of Americans have already received their Economic Impact Payment to help cover immediate expenses during COVID-19.…
