,Tweet
0,Calling in to @LarsLarsonShow's radio show this afternoon at 3:30PM CENTRAL. We'll discuss the #HunterBidenLaptop &amp; Coronavirus stimulus talks. Tune in!
1,"Watch @ffweekend at 5:35AM CT this morning! Discussing Adam Schiff claiming Hunter Biden email stories come 'from the Kremlin', #COVIDRelief and more. 

https://t.co/fVfBFHi2pA"
2,"Dr. Scott Barbour joined me and Rep. @michaelcburgess to lay out the facts about COVID-19 treatments and his concerns over the virus testing, case numbers and death rates. Watch the series on https://t.co/YfuiULYkTa https://t.co/Ta570FuxWu"
3,RT @OANN: Rep. Gohmert says Obama admin. conspiracy to make 'Watergate look like c... https://t.co/N9p5ZB7jrD #OANN @replouiegohmert
4,"In case you missed it on https://t.co/YfuiULYkTa, @RepGosar and I discussed COVID, masks, lockdowns and HCQ with @drsimonegold  
https://t.co/lix13Yttmz"
5,RT @DebbieCanWeTalk: Tune in to #AmericaCanWeTalk today 3pmCT to hear @replouiegohmert views on #Covid #peacefultransitionofpwer resolution…
6,"Sadly, some in the liberal media were quick to politicize this, and I'd like to clear some things up: I tested positive for COVID-19 on July 29. On August 19, after I was cleared from having the virus, I donated my plasma. 3/5 https://t.co/95qGudZL0N"
7,"Calling in to ""The Wilkow Majority"" on @SiriusXMPatriot today at 1:40PM CT! We'll discuss COVID, mail in ballots and more. Tune in!"
8,About to join @newsmax TV to discuss my #COVID recovery and talk about the news of President Trump’s diagnosis. Tune in!
9,Will join @ffweekend this morning at 8:30AM CT to discuss the news of President Trump’s COVID diagnosis. Will additionally talk about my #COVID recovery process. Tune in to @FoxNews to watch the segment!
10,To @realDonaldTrump &amp; @FLOTUS: I’m so sorry that you have the Chinese Virus. May God bless you through this time. Your WH doctor's advice to me on an HCQ regimen helped immensely. I felt better after the virus than before I had it &amp; pray the same for you!
11,"Another Democrat Senator who voted against the Civil Rights Act was ex-KKK member, Robert Byrd, whom VP Joe Biden eulogized at his funeral in 2013 https://t.co/twFMl7VItp 7/8"
12,"Tune in to @OANN ""In Focus"" with @STEPHMHAMILL tonight! Will discuss important issues of the day such as the Dem Coronavirus Stimulus Bill, #SCOTUS &amp; more.  

Be sure to watch at 5pm CT!"
13,Respected doctors with vital COVID-19 research and clinical experience are being vilified by the Trump-hating media and silenced through censorship by social media monopolies. Listen to our discussion on #MedicalFreedom with @seanhannity https://t.co/Q6R0Ukfhij
