,Tweet
41,"When we hear gunfire, most people run away, but police officers run to it. 

We need to do everything we can to honor the overwhelming majority of honorable men and women who put their lives on the line every day for the rest of us. https://t.co/JwpvNdLNDZ"
42,"We commit an injustice to those who have died both at the hands of police and of violent criminals if we don’t deal with the root causes of crime.

To achieve justice for all, we need to keep bad officers off the force and empower good cops to protect and serve. https://t.co/IzyaMzQlxT"
43,"RT @FreedomWorks: 👉 First lockdowns, then riots – here's how left's hypocrisy added fuel to the fire

@RepKenBuck ""The same politicians who…"
44,"We need peace, order, and faith following the senseless death of George Floyd. 

But as thousands of rioters ransack stores, burn churches, and spread violence, where are the Leftist politicians who chided freedom-loving Americans just weeks ago?
https://t.co/uPB2NPlAVN"
45,"RT @FreedomWorks: @CDCgov WRONGS:

👉 Models
👉 Lockdowns
👉 Masks
👉 Asymptomatics
👉 Virus on air/surfaces
👉 Infection fatality rate
👉 Childre…"
46,"RT @RepAndyBiggsAZ: In this context, the question shouldn’t be, “What have the CDC officials been right about?” It should be, “What haven’t…"
47,"At a time when millions of Americans are out of work, it’s absurd that states like California are sending taxpayer dollars to illegal aliens who broke our immigration laws. 

Proud to be working with @SenTomCotton on this effort.
https://t.co/SFcviHrJNH"
48,"Today, I introduced the No Bailouts for Illegal Aliens Act to ensure taxpayers aren’t bailing out states and localities that are setting up programs to send COVID-19 cash payments to illegal immigrants. https://t.co/X5M1v2JZTp https://t.co/EuFPttlnke"
49,"We cannot continue to fund the World Health Organization if it continues to parrot CCP talking points.

The WHO is facing worldwide backlash, President Trump is leading the way in sending a message to the WHO that they need to make significant reforms. https://t.co/jEciyZvQs6"
50,RT @freedomcaucus: NEWS: @FreedomCaucus sends letter to @realDonaldTrump supporting his recent halt of funding for the World Health Organiz…
51,RT @Heritage_Action: If you’re a small-business owner looking to hire back workers you were forced to lay off due to the COVID-19 economic…
52,"Land of the free because of the brave 🇺🇸 

This #MemorialDay, we remember the men and women who made the ultimate sacrifice for our country. May God bless our fallen heroes and their families. https://t.co/LZkebj55zh"
53,"Public officials cannot make the best decisions for their constituents with artificially inflated statistics.  

I’m calling on the @CDCgov to issue new guidance to follow Colorado’s lead and ensure official death tallies only include cases that are directly related to COVID-19. https://t.co/yckjhrAXWQ"
