,Tweet
38,"A.G. Barr is right. We must protect those who are exercising their First Amendment rights to protest the wrongful death of George Floyd.

And we should stop extremists from exploiting these protests to engage in lawlessness.  https://t.co/OmJVwKzUmz"
39,"There is both a legal basis and a long historical precedent for using our National Guard and—if necessary—federal troops to put down domestic violence.

Woke progressives who choose to ignore these facts are simply throwing a temper tantrum. https://t.co/nNC3xXCExl"
40,"In 1992, President George H.W. Bush ordered the Army’s 7th Infantry and 1,500 Marines to quell the Rodney King riots burning down LA. 

Bush 41 knew that King had been unjustly treated—“what I saw made me sick”—but he knew deadly riots would only multiply the victims."
41,"In 1967, President Johnson ordered the 82nd and 101st Airborne to stop deadly race riots in Detroit.

 LBJ: “We will not tolerate lawlessness... This Nation will do whatever it is necessary to do to suppress and to punish those who engage in it.”

https://t.co/ICyQ7JfbmH"
42,"To those who claim the military has no role in stopping anarchists and other criminals from tearing apart our cities: read a book. 

The military has intervened to maintain public order since the Whiskey Rebellion. Here are a few recent examples."
43,RT @JohnBoozman: Reminder: @USDA's Coronavirus Food Assistance Program has begun accepting applications and will continue through 8/28 to s…
44,The orderly rows of white headstones at resting places like Arlington National Cemetery impress upon us the magnitude of their sacrifice—yet each headstone pays tribute to an individual who left his own heroic saga and loving family here on Earth.
45,Memorial Day reminds us of the patriots who’ve died in defense of our country.
46,"Red China thinks it can crackdown on Hong Kong in violation of its treaty commitments &amp; the civilized world won’t notice during the pandemic. Wrong. We will notice, China will only prove again it’s a pariah state, &amp; China will suffer severe consequences.

cc: @AmbCuiTiankai"
47,"Congratulations to Brooke Bradford of Clinton High School, Jack Norris of Rogers High School, and Amanda Thomsen
of Fayetteville High School who were selected as this year's Arkansas Presidential Scholars! Arkansas is proud of you!"
48,ICYMI: I joined @foxandfriends this morning to discuss holding China accountable for unleashing this pandemic on the world. https://t.co/H3rnOLzwS8
49,"We shouldn’t be spending hard-earned taxpayer dollars on illegal immigrants when 35 million Americans are out of work. If we are going to give relief checks to those people who are out of work, we need to focus on American citizens, not illegal immigrants. https://t.co/FuueUwoXeY"
50,"Arkansas farmers &amp; ranchers suffering losses from the China virus may soon apply for direct assistance. 

Next Tuesday, USDA will begin accepting applications for financial assistance through the Coronavirus Food Assistance Program. Details here: 

https://t.co/2CviKVUISF"
51,"Congress passed the CARES Act to help workers impacted by the China virus pandemic, not to give a handout to those who broke our immigration laws. The federal government shouldn't be subsidizing states' efforts to send cash to illegal aliens. https://t.co/oG8Yrvd7YO"
52,RT @AmericaNewsroom: WATCH: @SenTomCotton discusses holding China accountable for its handling of coronavirus and why the US should stand w…
53,"The Chinese Communist Party shipped us defective, even counterfeit, masks. 

Taiwan has donated millions of masks, included 100,000 to my home state, Arkansas. 

The difference couldn’t be more stark. We need to stand with Taiwan:

https://t.co/cOJV6kCWed"
