,Tweet
44,1/3 I applaud the city and county for its efforts to provide rent relief for the millions of residents in Houston and Harris County who are desperately trying to avoid eviction. Today I call upon the Governor to act as the Nevada government is doing to enact an eviction
45,"RT @JoyAnnReid: Eric Trump’s wedding planner, who of course has a senior job at HUD because it’s ALL A GRIFT, duped a group of low income h…"
46,"We cannot stop, we must not stop testing. Come out today from 10am-5pm for #Covid19 testing, free of charge. https://t.co/xrQ731gAll"
47,2/2 If they are on take them off out of human decency and the officer who shot him must be brought to justice!
48,"RT @texasdemocrats: ""I am a Black mother, who happens to be a congresswoman, I am a Black mother who happens to understand that Black lives…"
49,"2/2 I’m asking Houstonians to please seek out information about shelter sites and potential evacuation procedures as soon as you can, as this may be different due to Covid-19. Get prepared, pack your emergency kits, and don’t let your guard down."
50,"Over the last couple of hours, I've heard my friends on the other side of the aisle say this say this is not serious, You know why this is serious? A 176,000 dead Americans from #Covid19 and the projection that there may be another 300,000 dead by Dec. 1. https://t.co/JbLvdWFAYd"
51,"There has been a 24% increase in pediatric cases over two weeks. From July 30th to August 13th, ​75,755 new child cases were reported.

My children’s #COVID19 testing Initiative will soon partner with 3 superintendents to provide test on school sites with parents consent. https://t.co/kD9UQLmui6"
52,"Americans who wish to #VoteByMail can take additional steps to make sure their vote will count:

1. Request your ballot 
2. Read all instructions 
3. Sign your ballot
4. Seal your ballot
5. Mail it back or drop it off 
6...and do it early! https://t.co/W9lPTs5bRG"
53,"As students prepare to return to school, testing children must be a priority and we cannot take this lightly or for granted.

Our testing initiative for children will provide this necessary safety net to protect teachers in school and family members at home https://t.co/D0QlRIBaIG"
54,RT @AprilDRyan: The third night of #DemConvention has everyone talking... Even Rep. @JacksonLeeTX18 who gives insight into the virtual conv…
55,"4. James C. Milton, National Association of Letter Carriers
5. Rodney Ellis, Harris County Commissioner, Precinct 

And two members of the Houston community, Sgt. Dudley Boudreaux and Katy Jewett whom are both living with Stage 4 breast cancer (3/5)"
56,2/2  to the Dept. of Health and Human Services to begin to push vaccine development and the establishment of vaccine producing facilities in COVID-19 hotspots in the Country such as Texas. That’s the right thing to do.
57,1/2 The Department of Homeland Security has just utilized the Project Bioshield Act of 2004 to respond to the crisis and the need of developing a vaccine quickly to fight COVID-19 and allowed funding to go from the Dept. of Homeland Security.....
58,RT @DJJQUE: Saturday Covid 19 Testing &amp; Mask distribution at Holy Name Catholic Church! 1929 Marion St. tobenwigwe @JacksonLeeTX18 @Houston…
59,"...who lost enormous revenue and will not be able to keep many of their essential workers, including first responders. In addition, the Republican bill sharply cuts funding for testing and contact tracing. 2/3"
60,"It is outrageous that the Republican stimulus bill eliminates the additional 600 dollar unemployment provision for people who are suffering from the COVID-19 pandemic, it is outrageous that funds are not provided for local governments...1/3"
61,RT @allinwithchris: .@JacksonLeeTX18 on Rep. Gohmert's positive coronavirus test: “It’s a very sad day. It’s a sad day for the people who h…
62,"Today, I stood for desperate families, children, and childcare workers in voting for 50 Billion dollars to extend childcare during COVID-19, and to establish childcare workers as essential workers included in the #ChildCareIsEssentialAct and the #ChildCareforEconomicRecoveryAct."
63,"RT @RevDrBarber: Grateful to share this time with @JacksonLeeTX18, who is also a warrior for justice &amp; woman of faith."
64,"stopping the community spread, and testing, testing, testing! 
📸: @JeffSyptak https://t.co/o5MZ34pgQ2"
65,"The Dogan elementary school testing site is open today through Thursday 10 am to 5 pm! 
Save lives. Stop the community spread! Get tested today, or at one of the many sites open from Monday to Friday. People are dying and the only real way to stop it is a stay-at-home order 2/3 https://t.co/mq1bIBmsjm"
66,"Despite heavy rains, three COVID-19 testing sites remained open on Saturday. NACC, Lilly Grove Baptist Church and Dogan Elementary School.  Almost 800 people were tested! Applause to all of those who came out and brought their families to be tested. https://t.co/iBJkIyZ6Lv"
67,"Rain or Shine we are testing.
Thank you to @nacchelp &amp; the #TexasNationalGuard, #TexasArmy and #TexasAirforce for ensuring Houstonians have access to #COVID19 testing. Testing saves lives! 
.
.
Watch live here: https://t.co/F9EF3EMDA8"
68,"RT @TheBlackCaucus: Even before #COVID19, 36 million U.S. workers did not have #PaidSickLeave and were forced to choose between a paycheck…"
69,@JacksonLeeTX18 in Homeland Security hearing fighting for more testing &amp; medical needs for Houston and Texas. People are dying. We must have local authority to issue stay at home orders to save lives! We can’t do contact tracing fast enough because community spread keeps growing! https://t.co/ilVV0hbkTT
70,"RT @JeffSyptak: Today’s City of Houston #COVID19 update by Mayor @SylvesterTurner. He is joined today by @JacksonLeeTX18, @MarthacastexT, @…"
71,The Administration would do well to cease &amp; desist with their attacks because all they are doing is endangering the lives of Americans and creating disastrous and mass confusion while people are desperately fighting for their lives in the nations hospital beds.
72,"@DrAnthonyF has been a leading voice on healthcare in America for over 3 decades and has been the singular most vital, informative and truthful voice for Americans as it relates to COVID-19."
73,"I can’t imagine what is next in this broken Trump justice system, people are languishing under the brick wall of mandatory minimums and Trump is commuting a person who unabashedly insulted the system of justice for all, lied to Congress, and openly demanded to be set free! 1/2"
74,"RT @hcphtx: The #Publichealth #frontline is committed, but it is stretched to the limit in this #pandemic. The massive scaling for #COVID19…"
75,"RT @HouseDemocrats: Wear a mask.

That’s it. That’s the tweet."
76,"RT @mitchellreports: On testing in Texas, @JacksonLeeTX18: ""The federal government is pulling out, and I've argued vigorously that this is…"
77,"I am expressing my deep concern for Aaryn Smiley, the daughter of @RickeySmiley who was injured, along with two others, last night due to gun violence. Thank God she made it to the hospital.  We are are now praying for a speedy recovery for Aaryn and everyone who was involved 1/2"
78,Protesting is a tactic that Americans have regularly used to fight for justice. How dare @POTUS call #BlackLivesMatter a symbol of hate — when Nazis in Charlottesville marched he said there were good people on both sides! 2/3
79,".#BlackLivesMatter inspires millions of Americans to take to the streets peacefully to challenge their government about the many African American men and women who have died at the hands of law enforcement, and to demand that African Americans be afforded human decency. 1/3"
80,"The push to save lives and stop  COVID-19 community spread includes wearing masks, social distancing, hand washing, distributing food to our constituents, and testing, testing, testing! 2/2"
81,"I will be joining Mayor @SylvesterTurner, #StarlightBaptistChurch, #NACC, and others for a food and mask distribution today at HPD North Division Station (9445 W. Montegomery) from 1 pm - 4 pm.  Also, hot meals will be provided to first responders. 1/2"
82,The Democratic Congressional delegation is calling for the federal testing sites in Texas not to be closed. I talked to the #Whitehouse yesterday and @VP is making the determination that 5 sites will remain open and those should include the sites in Harris county and Houston.
83,"RT @RepDMP: Congressional Coronavirus Task Force co-chair @JacksonLeeTX18 &amp; I are dealing with

surging COVID in our districts

ICUs at cap…"
84,They understand the potential devastation we face and the need for continued testing. I will continue pushing for these federal sites not to close and hope to hear back from The Administration soon. 2/2
85,"The Administration is now considering the request from Houston and Harris County, to extend our federal test sites. I just spoke to them and argued that the dire conditions we are experiencing right now in the county and city, are due to the surge in positive COVID-19 cases...1/2"
86,"I am still fighting to get the federal testing centers in the county and the city extended. The United States Government can not abandon Texas, Houston, and Harris County now, with COVID-19 cases spiking to 5000 Tuesday. It is imperative that the Whitehouse respond immediately!"
87,"People are dying and COVID-19 cases are spiking. Now is the time for the Administration to do its job. We can not tolerate racial attacks on Americans at this time, or anytime! 2/2"
88,The President has once again denigrated the office in which he occupies. Using a racial slur directed at Asian Americans to describe COVID-19 is disgusting and morally deficient. We are facing a health crisis that has been poorly handled by this Administration. 1/2
89,"The numbers are surging and I have spoken to city, county, and health  officials about the future of FEMA and HHS testing. 

Watch Live Here:  https://t.co/JW9TyCuSHv"
90,"These numbers suggest a need for increased access to testing, not ending it. I joined @RepSylviaGarcia in her letter demanding #COVID19 testing from the federal government be extended to August 30th. This absolutely is no time to shut down testing! Testing saves lives! 2/2"
91,"Federal testing for #COVID19 is set to end at the end of June. However, newly diagnosed COVID-19 cases in  Houston, Harris County, and throughout Texas are spiking, setting new records.  1/2"
92,"RT @SylvesterTurner: Earlier today, I joined Congresswoman @JacksonLeeTX18 as she held another #COVID19 testing and food distribution event…"
93,"Furthermore, #Masks should be required for everyone in the City's Airports — IAH &amp; Hobby — and all passengers on all the Nation's Airlines. 2/2"
94,#Masks are absolutely imperative to saving lives.  I fully support the mandatory order requiring everyone in Harris County to wear a mask when entering a business. I also support @METROHouston in their effort to require masks for the traveling public on busses and trains. 1/2
95,"COVID-related funding and/or who cannot afford to wait for assistance. I have also called for an additional 6k federal dollars per family from the pending #HeroesAct. Congress must pass this Act immediately, and we must continue testing, because this pandemic is not over! 2/3"
96,"#HarrisCountyReliefFund: I am encouraging HC residents to apply beginning tomorrow! This effort, by @greaterhoucf, will immediately benefit many in Houston and Harris County who are in need. This program is specifically for residents who may not be eligible for other... 1/3"
97,RT @brittanybritto: Photos of @JacksonLeeTX18 with volunteers who helped paint the mural and organizer Tanya Debose. #BlackTownsMatter http…
98,"And the many others whose support helped to make this possible! It's Simple. #Juneteenth should be a federal holiday. And we wrote the legislation to make that happen! ""Bringing the gifts that my ancestors gave, I am the dream and the hope of the slave!""
Happy #Juneteenth! 10/10 https://t.co/0oOciiX13D"
99,"RT @scottwongDC: Juneteenth recognizes America's ""original sin,"" says @JacksonLeeTX18 who's pushing to make it a national holiday https://t…"
100,"RT @RevDrBarber: Every attack on the poor must embolden our agitation. Lack of healthcare, lack of living wages, black men &amp; women getting…"
101,"RT @SylvesterTurner: #Houston, I am asking you to help us #FindVanessa. 

Vanessa Guillen is a 20-year-old @USArmy Pfc. who disappeared fro…"
102,"..another African American man who was murdered through the use of excessive force on the streets of America. Not only do we need police accountability, but we must bring an end to the pandemic of racism. Now is the time to change all of the attitudes and conditions that have..2/"
103,"#ForThePeople Testing Intiatiave 

Watch Live Here: https://t.co/cCuJNFBEil"
104,"Today, we honor the 49 Americans who lost their lives during the horrific mass shooting at #PulseNightclub. Your lives mattered, and your memory will live on. https://t.co/FmK1GOgIWq"
105,A faint and weak executive order is not responsive to the thousands of Americans who are protesting and seeking justice for #GeorgeFloyd. Enough is enough! 3/3
106,"RT @mitchellreports: .@JacksonLeeTX18: ""Today, I was comforted by the words of some Republicans. The ranking member, who recognized the das…"
107,"RT @Yamiche: .@AttorneyCrump to @JacksonLeeTX18 on policing: ""Immunity breeds impunity...We need to attack this like it's an epidemic on bl…"
108,"RT @HouseJudiciary: WATCH: Powerful testimony from Philonise Floyd, the brother of George Floyd, who was killed by Minneapolis police offic…"
109,"RT @TheBlackCaucus: Join us today for Living While Black in America. 

COVID-19 stopped everything, except racism. https://t.co/auXID0zclD…"
110,.@HouseJudiciary: Protecting the Right to Vote During #COVID19 — Congress and states must remain vigilant and take action to ensure that opponents of voting rights don’t use #COVID19 to further their efforts to suppress the vote this November. WATCH LIVE: https://t.co/sfyIgRcRKo
111,"When you refuse to use violence to suppress the constitutional right of innocent protesters, who are in pain over the tragic murder of a fellow citizen. That is not weakness, that is strength! 3/3"
112,"— who are every day, dealing with the pain of their constituents over the death of #GeorgeFloyd — by calling them weak. They are not weak, they are confronting the humanity of their people. Violence to suppress protests that are guaranteed by the constitution is unacceptable. 2/3"
113,RT @houmayor: Today has been declared a day of mourning for those who have lost their life to #COVID19. I encourage faith/community leaders…
114,"RT @JeffSyptak: Congresswoman @JacksonLeeTX18 protesting peacefully in #DowntownHouston. #GeorgeFloydProtests #BLM 

📸: @HoustonChron FB Li…"
115,"Preach, @paulwallbaby — 
Testing, Testing, Testing! https://t.co/NEOUyRFUb4"
116,"Faith Community Testing Initiative with @houmayor &amp; @paulwallbaby

Watch Live Here:   https://t.co/edjr78GCrY"
117,"I have protested, and I know the importance of protesting. I welcome the right of everyone to express their pain through freedom of speech. But today and in the days to come I plead for peaceful protesting...1/"
118,2/2 We are long overdue for national leadership that is going to help us see the end to this pandemic. Any other behavior is shameful! #Biden2020
119,1/2 In the midst of this pandemic our nation hasn’t experienced in over 100 years I’m grateful that VP Biden leads like a POTUS-wearing a mask along with his wife so the American people realize he’s committed to not only a strategy to end the pandemic but a strategy to save lives
120,"The wearing of masks should be required to stop community spread of #COVID19. This, along with testing and social distancing will help to save lives. I will work with my Congressional Colleagues and the Administration to put this measure in place, immediately. 2/2"
121,As the Nation’s Airports open up with more airline travel the traveling public must wear masks inside all  U.S. Airports and on all U.S. planes. Airports and planes can be difficult places to avoid proximity...1/
122,I pray that the tragedy of this deadly pandemic can be tempered in some way by a renewed commitment to strive for the values and ideals of our nation’s founding documents and the premise that ours is a land of freedom and opportunity and a welcoming home for all who seek them 2/2
123,"I join in wishing #EidMubarak to all of America’s Muslim communities.  As we look ahead to the future, I hope that the solidarity we all are feeling right now as Americans facing this public health crisis will be carried forward into solidarity 1/"
124,"TODAY at 3 CST (4PM ET) @HouseJudiciary is holding a virtual round-table on the impact of #COVID19 in prisons &amp; jails.

Watch live: https://t.co/uVDopB4yuR"
125,RT @cgihou: Consul General participated in the handing over of masks by @theDawoodiBohra community to Congresswoman @JacksonLeeTX18 for the…
126,Essential Workers Testing Day 1 watch live: https://t.co/9kzYZQ1MkJ
127,"RT @BlackPressUSA: COMMENTARY: COVID-19 — My Personal Battle from a Positive to a Negative Result — NNPA NEWSWIRE — On that Friday, March 2…"
128,RT @HoustonTX: Families still need food and supplies as they cope with the loss of income or job furloughs during the #Covid_19 public heal…
129,RT @CraigCaplan: Rep. Sheila Jackson Lee (D-TX) wearing a mask and gloves gavels out House for the night after members approved $3T COVID-1…
130,"I am on the floor of the House fighting for first responders, essential workers, rental assistance, mortgage relief, the elderly, the disabled, for more testing, and to save lives! The Heroes Act must be signed into law so that we can win the war against COVID-19 #ForThePoeple https://t.co/9UsKo3FNXe"
131,"RT @RepColinAllred: As this pandemic continues to take an economic toll, I'm working to get North Texas homeowners property tax relief. I j…"
132,"This resolution allows Congress to be #prepared, in case of a catastrophic resurgence of #COVID19. 
Elenor Roosevelt said ""One thing I believe profoundly — we make our own history"" That is what we are doing, we are making our own history so that we can serve the American people! https://t.co/apxYesIyBd"
133,"This is crucial and I hope you will participate. Confidentiality will be maintained in determining what contacts a person who has tested positive for COVID-19 has had, so we can save lives! 3/3"
134,"Thursday, May 14 at 11 a.m. and 1 p.m. on Microsoft Teams to be employed with an attractive salary as a contact tracer to help stop community spread of COVID-19. People interested in securing a job should visit the City of Houston Human Resources careers web page. /2"
135,"As I travel to Washington, D.C., to support $75 billion more for testing and contact tracing in order to help continue to blunt the progression of COVID-19 and save lives. Please look for the @HoustonTX  Together Virtual Job Fairs taking place... /1"
136,".@HouseJudiciary Democratic Virtual Roundtable on ICE's Response to #COVID19
Watch live here: https://t.co/wHmIr471t4 https://t.co/PIxG66hGhg"
137,RT @HoustonTX: Thank you @BeyGood &amp; Tina Knowles-Lawson for providing free testing &amp; household goods for families today. #COVID19 is still…
138,"I am live at Cullen Middle School for the #IDidMyPart Testing Initiative with @BeyGood! 

Watch live here: https://t.co/w5jf2AyB9S"
